fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
1053304,1053304,1053304,1053304,1,1,1,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1053305,1053305,1053305,1053305,1,1,1,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1053306,1053306,1053306,1053306,1,1,1,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1053401,1053401,1053401,1053401,1,1,1,1,1,1,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1053402,1053402,1053402,1053402,1,1,1,1,1,1,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1053403,1053403,1053403,1053403,1,1,1,1,1,1,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1053404,1053404,1053404,1053404,1,1,1,1,1,1,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1053405,1053405,1053405,1053405,1,1,1,1,1,1,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1053406,1053406,1053406,1053406,1,1,1,1,1,1,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1054101,1054101,1054101,1054101,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1054102,1054102,1054102,1054102,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1054103,1054103,1054103,1054103,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1054104,1054104,1054104,1054104,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1054105,1054105,1054105,1054105,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1054106,1054106,1054106,1054106,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1054201,1054201,1054201,1054201,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1054202,1054202,1054202,1054202,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1054203,1054203,1054203,1054203,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1054204,1054204,1054204,1054204,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1054205,1054205,1054205,1054205,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1054206,1054206,1054206,1054206,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1054301,1054301,1054301,1054301,1,1,1,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1054302,1054302,1054302,1054302,1,1,1,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1054303,1054303,1054303,1054303,1,1,1,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1054304,1054304,1054304,1054304,1,1,1,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1054305,1054305,1054305,1054305,1,1,1,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1054306,1054306,1054306,1054306,1,1,1,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1054401,1054401,1054401,1054401,1,1,1,1,1,1,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1054402,1054402,1054402,1054402,1,1,1,1,1,1,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1054403,1054403,1054403,1054403,1,1,1,1,1,1,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1054404,1054404,1054404,1054404,1,1,1,1,1,1,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1054405,1054405,1054405,1054405,1,1,1,1,1,1,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1054406,1054406,1054406,1054406,1,1,1,1,1,1,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1061401,1061401,1061401,1061401,1,1,1,1,1,1,1061401,999999999,1061401,1061401,1061401,1061401,0,32,-1,-1,999999999,0.01
1069000,1069000,1069000,1069000,1,1,1,1,1,1,1069000,999999999,1069000,1069000,1069000,1069000,0,32,-1,-1,999999999,0.001
1071401,1071401,1071401,1071401,1,1,1,1,1,1,1071401,999999999,1071401,1071401,1071401,1071401,0,32,-1,-1,999999999,0.001
2011101,2011101,2011101,2011101,1,1,2,1,1,2,2011101,999999999,2011101,2011201,2011201,2011101,1,3,2011102,-1,10,1
2011102,2011102,2011102,2011102,1,1,2,1,1,2,2011102,999999999,2011102,2011202,2011202,2011101,1,3,2011103,-1,20,1
2011103,2011103,2011103,2011103,1,1,2,1,1,2,2011103,999999999,2011103,2011203,2011203,2011101,1,3,2011104,-1,40,1
2011104,2011104,2011104,2011104,1,1,2,1,1,2,2011104,999999999,2011104,2011204,2011204,2011101,1,3,2011105,-1,60,1
2011105,2011105,2011105,2011105,1,1,2,1,1,2,2011105,999999999,2011105,2011205,2011205,2011101,1,3,2011106,-1,100,1
2011106,2011106,2011106,2011106,1,1,2,1,1,2,2011106,999999999,2011106,2011206,2011206,2011101,1,3,-1,-1,999999999,1
2011201,2011201,2011201,2011201,1,1,2,1,1,2,2011201,999999999,2011101,2011301,2011301,2011101,4,8,2011202,-1,10,0.9
2011202,2011202,2011202,2011202,1,1,2,1,1,2,2011202,999999999,2011102,2011302,2011302,2011101,4,8,2011203,-1,20,0.9
2011203,2011203,2011203,2011203,1,1,2,1,1,2,2011203,999999999,2011103,2011303,2011303,2011101,4,8,2011204,-1,40,0.9
2011204,2011204,2011204,2011204,1,1,2,1,1,2,2011204,999999999,2011104,2011304,2011304,2011101,4,8,2011205,-1,60,0.9
2011205,2011205,2011205,2011205,1,1,2,1,1,2,2011205,999999999,2011105,2011305,2011305,2011101,4,8,2011206,-1,100,0.9
2011206,2011206,2011206,2011206,1,1,2,1,1,2,2011206,999999999,2011106,2011306,2011306,2011101,4,8,-1,-1,999999999,0.9
2011301,2011301,2011301,2011301,1,1,1,1,1,2,2011301,999999999,2011201,1051401,2031401,2011101,9,20,2011302,1051402,10,0.75
2011302,2011302,2011302,2011302,1,1,1,1,1,2,2011302,999999999,2011202,1051402,2031402,2011101,9,20,2011303,1051403,20,0.75
2011303,2011303,2011303,2011303,1,1,1,1,1,2,2011303,999999999,2011203,1051403,2031403,2011101,9,20,2011304,1051404,40,0.75
2011304,2011304,2011304,2011304,1,1,1,1,1,2,2011304,999999999,2011204,1051404,2031404,2011101,9,20,2011305,1051405,60,0.75
2011305,2011305,2011305,2011305,1,1,1,1,1,2,2011305,999999999,2011205,1051405,2031405,2011101,9,20,2011306,1051406,100,0.75
2011306,2011306,2011306,2011306,1,1,1,1,1,2,2011306,999999999,2011206,1051406,2031406,2011101,9,20,-1,-1,999999999,0.75
2012101,2012101,2012101,2012101,1,1,2,1,1,2,2011101,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
2012102,2012102,2012102,2012102,1,1,2,1,1,2,2011102,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
2012103,2012103,2012103,2012103,1,1,2,1,1,2,2011103,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
2012104,2012104,2012104,2012104,1,1,2,1,1,2,2011104,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
2012105,2012105,2012105,2012105,1,1,2,1,1,2,2011105,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
2012106,2012106,2012106,2012106,1,1,2,1,1,2,2011106,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
2012201,2012201,2012201,2012201,1,1,2,1,1,2,2011201,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
2012202,2012202,2012202,2012202,1,1,2,1,1,2,2011202,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
